ref_sequence_name,species,min_percent_identity,min_percent_aligned,reported,internal_control
Anaplasma_phagocytophilum_859_860,Anaplasma_phagocytophilum,97,99,TRUE,FALSE
Babesia_microti_1960_1961,Babesia_microti,97,99,TRUE,FALSE
Babesia_odocoilei_1960_1961,Babesia_odocoilei,97,99,TRUE,FALSE
Borrelia_andersoni_flaB_st_21038,Borrelia_andersoni,97,99,TRUE,FALSE
Borrelia_bissettii_flaB_st_DN127,Borrelia_bissettii,97,99,TRUE,FALSE
Borrelia_burgdorferi_flaB_st_B31,Borrelia_burgdorferi,97,99,TRUE,FALSE
Borrelia_burgdorferi_flaB_st_N40,Borrelia_burgdorferi,97,99,TRUE,FALSE
Borrelia_mayonii_flaB_st_MN14_1420,Borrelia_mayonii,97,99,TRUE,FALSE
Borrelia_miyamotoi_flaB_st_RI13_2395,Borrelia_miyamotoi,97,99,TRUE,FALSE
Ehrichia_EMLA_859_860,Ehrlichia_EMLA,97,99,TRUE,FALSE
actin_Ix_dent,Ixodes_scapularis,90,95,TRUE,TRUE
actin_Ix_scap,Ixodes_scapularis,90,95,TRUE,TRUE
Ix_scap_actin_XM_029994625.1:536_691,Ixodes_scapularis,90,95,TRUE,TRUE
Ix_scap_actin_XM_029977298.1:569_725,Ixodes_scapularis,90,95,TRUE,TRUE
Ehr_khab_859_860_KR063139,E_khabarensis,97,99,TRUE,FALSE
1960_1961_Babesia_microti_Sorex_Alaska_AY918952,Babesia_microti_Alaska_1,97,99,TRUE,FALSE
Babesia_microti_Clethrionomys_AY144687,Babesia_microti_Alaska_2,97,99,TRUE,FALSE
